,Track ID,Track Name,Track Added At,Track Popularity,Track Duration,Available Markets,Album,Album Type,Artist,Release Date,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Speechiness,Valence,Tempo
70,4k3uABcX9iaGlt5pRJhumi,stupid,2020-01-29T19:17:02Z,81,172915,79,stupid,single,|Tate McRae,2019-12-06,0.0,0.0,4.0,0.0692,0.673,0.579,8.61e-05,0.186,-6.029,0.0392,0.262,96.009,0.0392,0.262,96.009
71,4O2XaXdnpyUPj90lNq1bIR,Simmer,2020-01-29T19:17:02Z,73,266115,78,Simmer,single,|Hayley Williams,2020-01-22,7.0,1.0,4.0,0.213,0.781,0.598,0.00271,0.118,-7.418,0.043,0.362,109.97,0.043,0.362,109.97
72,1Cv1YLb4q0RzL6pybtaMLo,Sunday Best,2020-01-29T19:17:02Z,84,158571,79,Where the Light Is,album,|Surfaces,2019-01-06,5.0,1.0,4.0,0.183,0.878,0.525,0.0,0.0714,-6.832,0.0578,0.694,112.022,0.0578,0.694,112.022
73,4Yxc55NX3tAXC2mHRAhtcW,"All I Want - From ""High School Musical: The Musical: The Series""",2020-01-29T19:17:02Z,84,177322,79,"All I Want (From ""High School Musical: The Musical: The Series"")",single,|Olivia Rodrigo,2019-11-27,0.0,0.0,3.0,0.0902,0.376,0.43,0.0,0.0912,-6.585,0.0328,0.129,77.599,0.0328,0.129,77.599
74,6WrHKidpEVkYKX3vSQhBgL,LOVE IN THE DARK,2020-01-29T19:17:02Z,66,240053,79,LOVE IN THE DARK,single,|Jessie Reyez,2020-01-23,11.0,0.0,4.0,0.801,0.511,0.333,6.06e-05,0.12,-8.176,0.0266,0.265,101.732,0.0266,0.265,101.732
75,6vzLbfskWigBsCzNdB0kfE,Boys Ain't Shit,2020-01-29T19:17:02Z,68,175883,79,Boys Ain't Shit,single,|SAYGRACE,2019-10-18,1.0,0.0,4.0,0.435,0.826,0.616,0.00631,0.334,-4.729,0.137,0.842,102.996,0.137,0.842,102.996
76,7HMmFQsKsljwTw8bS7lu19,Rare,2020-01-29T19:17:02Z,90,220589,79,Rare,album,|Selena Gomez,2020-01-10,5.0,1.0,4.0,0.208,0.838,0.545,8.01e-05,0.103,-6.713,0.0706,0.631,114.998,0.0706,0.631,114.998
77,06scTb0zbkxYNgpAB3J9fN,B.I.T.C.H.,2020-01-29T19:17:02Z,74,183142,78,B.I.T.C.H.,single,|Megan Thee Stallion,2020-01-24,11.0,0.0,4.0,0.0839,0.744,0.733,0.0,0.125,-4.362,0.306,0.538,174.015,0.306,0.538,174.015
78,24NuEDgyRIljwSyY0lsr7b,Black Swan,2020-01-29T19:17:02Z,88,198260,79,Black Swan,single,|BTS,2020-01-17,2.0,0.0,4.0,0.137,0.719,0.758,0.0,0.129,-5.167,0.0851,0.49,147.023,0.0851,0.49,147.023
79,7uUahoeqGNRMbpdeiLj1rS,Panic Room,2020-01-29T19:17:02Z,77,237772,79,Panic Room,single,|Au/Ra,2018-02-09,8.0,1.0,4.0,0.152,0.495,0.426,5.65e-06,0.099,-9.434,0.0736,0.0636,97.91,0.0736,0.0636,97.91
